,time_s3,open_s3,high_s3,low_s3,close_s3,vol_s3,time_s2,open_s2,high_s2,low_s2,close_s2,vol_s2,time_s1,open_s1,high_s1,low_s1,close_s1,vol_s1,time,open,high,low,close,vol
3,2023.06.01 00:00,27103.1,27108.1,27080.6,27096.9,386.675,2023.06.01 00:15,27096.9,27096.9,27036.7,27047.0,408.68,2023.06.01 00:30,27047.0,27077.4,27041.0,27054.9,275.08,2023.06.01 00:45,27054.9,27084.0,27054.8,27084.0,218.143
4,2023.06.01 00:15,27096.9,27096.9,27036.7,27047.0,408.68,2023.06.01 00:30,27047.0,27077.4,27041.0,27054.9,275.08,2023.06.01 00:45,27054.9,27084.0,27054.8,27084.0,218.143,2023.06.01 01:00,27084.0,27113.9,27073.5,27100.0,329.412
5,2023.06.01 00:30,27047.0,27077.4,27041.0,27054.9,275.08,2023.06.01 00:45,27054.9,27084.0,27054.8,27084.0,218.143,2023.06.01 01:00,27084.0,27113.9,27073.5,27100.0,329.412,2023.06.01 01:15,27100.0,27159.0,27100.0,27142.4,979.655
6,2023.06.01 00:45,27054.9,27084.0,27054.8,27084.0,218.143,2023.06.01 01:00,27084.0,27113.9,27073.5,27100.0,329.412,2023.06.01 01:15,27100.0,27159.0,27100.0,27142.4,979.655,2023.06.01 01:30,27142.4,27158.3,27120.0,27137.2,512.81
7,2023.06.01 01:00,27084.0,27113.9,27073.5,27100.0,329.412,2023.06.01 01:15,27100.0,27159.0,27100.0,27142.4,979.655,2023.06.01 01:30,27142.4,27158.3,27120.0,27137.2,512.81,2023.06.01 01:45,27137.2,27180.0,27133.9,27170.2,427.89
8,2023.06.01 01:15,27100.0,27159.0,27100.0,27142.4,979.655,2023.06.01 01:30,27142.4,27158.3,27120.0,27137.2,512.81,2023.06.01 01:45,27137.2,27180.0,27133.9,27170.2,427.89,2023.06.01 02:00,27170.2,27181.0,27147.2,27156.9,653.769
9,2023.06.01 01:30,27142.4,27158.3,27120.0,27137.2,512.81,2023.06.01 01:45,27137.2,27180.0,27133.9,27170.2,427.89,2023.06.01 02:00,27170.2,27181.0,27147.2,27156.9,653.769,2023.06.01 02:15,27156.9,27185.0,27145.5,27184.9,318.473
10,2023.06.01 01:45,27137.2,27180.0,27133.9,27170.2,427.89,2023.06.01 02:00,27170.2,27181.0,27147.2,27156.9,653.769,2023.06.01 02:15,27156.9,27185.0,27145.5,27184.9,318.473,2023.06.01 02:30,27184.9,27296.8,27169.2,27247.0,2235.607
11,2023.06.01 02:00,27170.2,27181.0,27147.2,27156.9,653.769,2023.06.01 02:15,27156.9,27185.0,27145.5,27184.9,318.473,2023.06.01 02:30,27184.9,27296.8,27169.2,27247.0,2235.607,2023.06.01 02:45,27247.0,27264.3,27181.5,27199.0,875.719
12,2023.06.01 02:15,27156.9,27185.0,27145.5,27184.9,318.473,2023.06.01 02:30,27184.9,27296.8,27169.2,27247.0,2235.607,2023.06.01 02:45,27247.0,27264.3,27181.5,27199.0,875.719,2023.06.01 03:00,27199.0,27343.4,27179.3,27304.1,2538.299
13,2023.06.01 02:30,27184.9,27296.8,27169.2,27247.0,2235.607,2023.06.01 02:45,27247.0,27264.3,27181.5,27199.0,875.719,2023.06.01 03:00,27199.0,27343.4,27179.3,27304.1,2538.299,2023.06.01 03:15,27304.1,27325.0,27274.0,27274.0,895.629
14,2023.06.01 02:45,27247.0,27264.3,27181.5,27199.0,875.719,2023.06.01 03:00,27199.0,27343.4,27179.3,27304.1,2538.299,2023.06.01 03:15,27304.1,27325.0,27274.0,27274.0,895.629,2023.06.01 03:30,27274.0,27290.3,27055.4,27103.6,3447.623
15,2023.06.01 03:00,27199.0,27343.4,27179.3,27304.1,2538.299,2023.06.01 03:15,27304.1,27325.0,27274.0,27274.0,895.629,2023.06.01 03:30,27274.0,27290.3,27055.4,27103.6,3447.623,2023.06.01 03:45,27103.6,27103.6,27012.0,27060.2,1554.285
16,2023.06.01 03:15,27304.1,27325.0,27274.0,27274.0,895.629,2023.06.01 03:30,27274.0,27290.3,27055.4,27103.6,3447.623,2023.06.01 03:45,27103.6,27103.6,27012.0,27060.2,1554.285,2023.06.01 04:00,27060.2,27135.0,27050.0,27115.9,919.264
17,2023.06.01 03:30,27274.0,27290.3,27055.4,27103.6,3447.623,2023.06.01 03:45,27103.6,27103.6,27012.0,27060.2,1554.285,2023.06.01 04:00,27060.2,27135.0,27050.0,27115.9,919.264,2023.06.01 04:15,27115.9,27133.0,27089.4,27131.7,591.857
18,2023.06.01 03:45,27103.6,27103.6,27012.0,27060.2,1554.285,2023.06.01 04:00,27060.2,27135.0,27050.0,27115.9,919.264,2023.06.01 04:15,27115.9,27133.0,27089.4,27131.7,591.857,2023.06.01 04:30,27131.7,27152.2,27103.3,27103.4,657.897
19,2023.06.01 04:00,27060.2,27135.0,27050.0,27115.9,919.264,2023.06.01 04:15,27115.9,27133.0,27089.4,27131.7,591.857,2023.06.01 04:30,27131.7,27152.2,27103.3,27103.4,657.897,2023.06.01 04:45,27103.4,27144.9,27064.5,27069.3,960.815
20,2023.06.01 04:15,27115.9,27133.0,27089.4,27131.7,591.857,2023.06.01 04:30,27131.7,27152.2,27103.3,27103.4,657.897,2023.06.01 04:45,27103.4,27144.9,27064.5,27069.3,960.815,2023.06.01 05:00,27069.3,27078.8,27036.7,27044.4,451.196
21,2023.06.01 04:30,27131.7,27152.2,27103.3,27103.4,657.897,2023.06.01 04:45,27103.4,27144.9,27064.5,27069.3,960.815,2023.06.01 05:00,27069.3,27078.8,27036.7,27044.4,451.196,2023.06.01 05:15,27044.4,27070.0,27026.9,27064.1,527.26
22,2023.06.01 04:45,27103.4,27144.9,27064.5,27069.3,960.815,2023.06.01 05:00,27069.3,27078.8,27036.7,27044.4,451.196,2023.06.01 05:15,27044.4,27070.0,27026.9,27064.1,527.26,2023.06.01 05:30,27064.1,27107.7,27027.0,27027.0,577.918
23,2023.06.01 05:00,27069.3,27078.8,27036.7,27044.4,451.196,2023.06.01 05:15,27044.4,27070.0,27026.9,27064.1,527.26,2023.06.01 05:30,27064.1,27107.7,27027.0,27027.0,577.918,2023.06.01 05:45,27027.0,27033.9,26630.2,26711.6,14472.841
24,2023.06.01 05:15,27044.4,27070.0,27026.9,27064.1,527.26,2023.06.01 05:30,27064.1,27107.7,27027.0,27027.0,577.918,2023.06.01 05:45,27027.0,27033.9,26630.2,26711.6,14472.841,2023.06.01 06:00,26711.6,26749.2,26584.6,26749.1,4008.627
